session,gnss,sv,n,n_arcs,cn0_mean,sigma_cmc
hilltop,beidou,7,11,1,29.675363714044746,0.3974489746377741
hilltop,beidou,9,58,4,30.724534429352858,0.4805732290914843
hilltop,beidou,11,39,3,31.368743554139748,1.6832022916933627
hilltop,beidou,12,190,8,31.219268337048984,2.140203142211996
hilltop,beidou,19,591,4,37.29333163679352,2.384057497302234
hilltop,beidou,20,374,10,34.82953733556411,2.462526283554556
hilltop,beidou,22,598,3,37.39672905465831,1.1241369283963727
hilltop,beidou,26,132,4,34.44015141689416,0.7273232391265863
hilltop,beidou,29,25,2,31.7802001953125,0.835669478580671
hilltop,beidou,30,127,4,31.727559082151398,1.6878360140837654
hilltop,beidou,31,288,7,32.61600355969535,0.7762128710034523
hilltop,beidou,32,480,10,33.288997848828636,1.4954626067455936
hilltop,beidou,35,573,5,36.03674342037287,3.072240954993899
hilltop,galileo,8,37,4,30.925432720699824,1.2315057863602616
hilltop,galileo,13,13,1,36.63992280226488,2.0704482688477746
hilltop,galileo,14,53,4,37.43377332867316,1.0060610464701782
hilltop,galileo,21,57,5,35.536982686896074,1.0258907014805787
hilltop,galileo,23,12,1,27.9271666208903,0.8699273786476073
hilltop,galileo,30,86,7,35.31529067283453,0.609701752143437
hilltop,glonass,1,18,2,0.0,0.7257921811806162
hilltop,glonass,6,409,8,0.0,2.3577165847389665
hilltop,glonass,7,266,11,24.478199213070976,2.1035784476716652
hilltop,glonass,8,586,4,8.184143338187155,1.4283570108126058
hilltop,glonass,12,583,4,29.582826730522036,1.6972320072949734
hilltop,glonass,13,20,1,37.148350143432616,1.1454353453484487
hilltop,glonass,21,36,2,32.989138762156166,1.9579255028723868
hilltop,glonass,22,450,11,9.509524415334067,2.613342141835991
hilltop,glonass,23,87,5,0.0,1.620522595947835
hilltop,gps,1,531,7,33.90052922207533,2.293028159998394
hilltop,gps,2,233,12,32.917236115287814,1.6678987346886105
hilltop,gps,3,597,4,39.58738013288284,1.3785424429005488
hilltop,gps,4,534,6,35.33097561468346,1.317702258671615
hilltop,gps,8,223,8,34.06209418805725,1.7715740226723349
hilltop,gps,10,18,2,32.19088914659288,0.83883624135553
hilltop,gps,14,595,3,37.701605054711095,1.2717285535513807
hilltop,gps,17,376,9,33.96247868842267,1.4958763505713193
hilltop,gps,22,532,5,34.19735529548243,1.8949401536199808
hilltop,gps,27,75,2,32.76712000528971,1.3641176463235967
hilltop,gps,32,407,8,35.521793571678366,2.078224181163764
urban_raw_on,beidou,12,244,3,30.806090159494367,0.805521997119725
urban_raw_on,beidou,20,284,3,33.48875355384719,0.5489781026526803
urban_raw_on,beidou,29,11,1,27.916817925193094,0.361816419106937
