session,gnss,sv,cn0_mean,sigma_cmc,n
hilltop,beidou,7,29.675363714044746,0.3974489746377741,11
hilltop,beidou,9,30.724534429352858,0.4805732290914843,58
hilltop,beidou,11,31.368743554139748,1.6832022916933627,39
hilltop,beidou,12,31.219268337048984,2.140203142211996,190
hilltop,beidou,19,37.29333163679352,2.384057497302234,591
hilltop,beidou,20,34.82953733556411,2.462526283554556,374
hilltop,beidou,22,37.39672905465831,1.1241369283963727,598
hilltop,beidou,26,34.44015141689416,0.7273232391265863,132
hilltop,beidou,29,31.7802001953125,0.835669478580671,25
hilltop,beidou,30,31.727559082151398,1.6878360140837654,127
hilltop,beidou,31,32.61600355969535,0.7762128710034523,288
hilltop,beidou,32,33.288997848828636,1.4954626067455936,480
hilltop,beidou,35,36.03674342037287,3.072240954993899,573
hilltop,galileo,8,30.925432720699824,1.2315057863602616,37
hilltop,galileo,13,36.63992280226488,2.0704482688477746,13
hilltop,galileo,14,37.43377332867316,1.0060610464701782,53
hilltop,galileo,21,35.536982686896074,1.0258907014805787,57
hilltop,galileo,23,27.9271666208903,0.8699273786476073,12
hilltop,galileo,30,35.31529067283453,0.609701752143437,86
hilltop,glonass,1,0.0,0.7257921811806162,18
hilltop,glonass,6,0.0,2.3577165847389665,409
hilltop,glonass,7,24.478199213070976,2.1035784476716652,266
hilltop,glonass,8,8.184143338187155,1.4283570108126058,586
hilltop,glonass,12,29.582826730522036,1.6972320072949734,583
hilltop,glonass,13,37.148350143432616,1.1454353453484487,20
hilltop,glonass,21,32.989138762156166,1.9579255028723868,36
hilltop,glonass,22,9.509524415334067,2.613342141835991,450
hilltop,glonass,23,0.0,1.620522595947835,87
hilltop,gps,1,33.90052922207533,2.293028159998394,531
hilltop,gps,2,32.917236115287814,1.6678987346886105,233
hilltop,gps,3,39.58738013288284,1.3785424429005488,597
hilltop,gps,4,35.33097561468346,1.317702258671615,534
hilltop,gps,8,34.06209418805725,1.7715740226723349,223
hilltop,gps,10,32.19088914659288,0.83883624135553,18
hilltop,gps,14,37.701605054711095,1.2717285535513807,595
hilltop,gps,17,33.96247868842267,1.4958763505713193,376
hilltop,gps,22,34.19735529548243,1.8949401536199808,532
hilltop,gps,27,32.76712000528971,1.3641176463235967,75
hilltop,gps,32,35.521793571678366,2.078224181163764,407
urban_raw_on,beidou,12,30.806090159494367,0.805521997119725,244
urban_raw_on,beidou,20,33.48875355384719,0.5489781026526803,284
urban_raw_on,beidou,29,27.916817925193094,0.361816419106937,11
